(trendCoefficient= '0.4593729862578489', state= '', country= 'Somalia', continent= 'Africa'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '0.8564417269852688', state= '', country= 'Azerbaijan', continent= 'Asia'weekYear= '2020-W21,[(5/18/20,113.0)])
(trendCoefficient= '13.603493233826372', state= '', country= 'Chile', continent= 'America'weekYear= '2020-W18,[(5/3/20,1228.0), (5/2/20,1427.0), (5/1/20,985.0), (4/30/20,1138.0), (4/29/20,520.0), (4/28/20,552.0), (4/27/20,482.0)])
(trendCoefficient= '1.5681412878958174', state= '', country= 'Moldova', continent= 'Europa'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '1.833887814893075', state= '', country= 'Ghana', continent= 'Africa'weekYear= '2020-W09,[(3/1/20,0.0), (2/29/20,0.0), (2/28/20,0.0), (2/27/20,0.0), (2/26/20,0.0), (2/25/20,0.0), (2/24/20,0.0)])
(trendCoefficient= '0.4492424583014881', state= '', country= 'Congo (Kinshasa)', continent= 'Africa'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,0.0)])
(trendCoefficient= '0.8244466423893659', state= '', country= 'Sudan', continent= 'Africa'weekYear= '2020-W21,[(5/18/20,302.0)])
(trendCoefficient= '1.4003956300858698', state= '', country= 'Austria', continent= 'Europa'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,0.0)])
(trendCoefficient= '15.682604265012214', state= '', country= 'Mexico', continent= 'America'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,0.0)])
(trendCoefficient= '0.7339013022823659', state= '', country= 'Norway', continent= 'Europa'weekYear= '2020-W07,[(2/16/20,0.0), (2/15/20,0.0), (2/14/20,0.0), (2/13/20,0.0), (2/12/20,0.0), (2/11/20,0.0), (2/10/20,0.0)])
(trendCoefficient= '4.851848521632274', state= '', country= 'Ireland', continent= 'Europa'weekYear= '2020-W16,[(4/19/20,493.0), (4/18/20,778.0), (4/17/20,709.0), (4/16/20,724.0), (4/15/20,1068.0), (4/14/20,832.0), (4/13/20,992.0)])
(trendCoefficient= '1.5681412878958174', state= '', country= 'Moldova', continent= 'Europa'weekYear= '2020-W13,[(3/29/20,32.0), (3/28/20,32.0), (3/27/20,22.0), (3/26/20,28.0), (3/25/20,24.0), (3/24/20,16.0), (3/23/20,15.0)])
(trendCoefficient= '1.5966821022344109', state= '', country= 'Oman', continent= 'Asia'weekYear= '2020-W15,[(4/9/20,38.0), (4/8/20,48.0), (4/7/20,40.0), (4/6/20,33.0), (4/12/20,53.0), (4/11/20,62.0), (4/10/20,27.0)])
(trendCoefficient= '12.23716824768841', state= '', country= 'Pakistan', continent= 'Asia'weekYear= '2020-W14,[(4/5/20,339.0), (4/4/20,132.0), (4/3/20,265.0), (4/2/20,303.0), (4/1/20,180.0), (3/31/20,221.0), (3/30/20,120.0)])
(trendCoefficient= '1.5681412878958174', state= '', country= 'Moldova', continent= 'Europa'weekYear= '2020-W18,[(5/3/20,69.0), (5/2/20,72.0), (5/1/20,83.0), (4/30/20,126.0), (4/29/20,133.0), (4/28/20,157.0), (4/27/20,73.0)])
