Province/State,Country/Region,Lat,Long,Continent,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20
Northern Territory,Australia,-12.4634,130.8456,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queensland,Australia,-28.0167,153.4,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,15.0,11.0,15.0,7.0,10.0,16.0,50.0,40.0,37.0,38.0,60.0,78.0,46.0,50.0,62.0,70.0,31.0,33.0,54.0,38.0,54.0,38.0,27.0,7.0,14.0,13.0,9.0,10.0,12.0,9.0,9.0,4.0,11.0,1.0,2.0,6.0,8.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0
South Australia,Australia,-34.9285,138.6007,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,3.0,1.0,9.0,0.0,8.0,5.0,8.0,17.0,33.0,34.0,36.0,0.0,65.0,22.0,30.0,12.0,6.0,32.0,30.0,0.0,29.0,11.0,0.0,4.0,0.0,4.0,5.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tasmania,Australia,-41.4545,145.9707,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0,6.0,6.0,0.0,8.0,11.0,0.0,15.0,4.0,0.0,3.0,0.0,3.0,2.0,6.0,2.0,4.0,3.0,9.0,13.0,11.0,11.0,0.0,11.0,21.0,0.0,4.0,11.0,8.0,7.0,5.0,1.0,4.0,2.0,0.0,0.0,5.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria,Australia,-37.8136,144.9631,Oceania,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,15.0,13.0,8.0,14.0,23.0,27.0,0.0,0.0,108.0,126.0,0.0,56.0,55.0,54.0,54.0,111.0,84.0,52.0,96.0,51.0,68.0,49.0,30.0,20.0,23.0,33.0,21.0,16.0,13.0,24.0,3.0,13.0,10.0,8.0,0.0,3.0,17.0,9.0,1.0,7.0,0.0,1.0,6.0,3.0,3.0,0.0,5.0,7.0,3.0,7.0,13.0,22.0,17.0,17.0,14.0,13.0,1.0,19.0,9.0,15.0,3.0,7.0,19.0,11.0,7.0,6.0,9.0
Western Australia,Australia,-31.9505,115.8605,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,3.0,0.0,11.0,3.0,4.0,17.0,12.0,26.0,30.0,20.0,35.0,0.0,56.0,0.0,47.0,33.0,44.0,9.0,28.0,8.0,0.0,36.0,17.0,7.0,0.0,21.0,14.0,11.0,8.0,0.0,3.0,10.0,0.0,5.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
,Austria,47.5162,14.5501,Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,5.0,4.0,3.0,8.0,12.0,14.0,24.0,25.0,27.0,51.0,64.0,56.0,202.0,151.0,205.0,158.0,314.0,314.0,367.0,375.0,426.0,768.0,892.0,809.0,305.0,1321.0,748.0,614.0,517.0,830.0,562.0,531.0,418.0,395.0,257.0,270.0,246.0,342.0,303.0,302.0,311.0,251.0,139.0,96.0,185.0,110.0,140.0,119.0,76.0,78.0,46.0,78.0,52.0,77.0,69.0,77.0,77.0,49.0,83.0,45.0,50.0,79.0,27.0,39.0,24.0,29.0,34.0,68.0,22.0,59.0,38.0,11.0,79.0,36.0,61.0,51.0,92.0,41.0,27.0
,Azerbaijan,40.1431,47.5769,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0,5.0,0.0,0.0,16.0,0.0,9.0,12.0,7.0,15.0,6.0,29.0,43.0,17.0,27.0,64.0,25.0,61.0,41.0,43.0,78.0,63.0,57.0,76.0,105.0,104.0,65.0,67.0,40.0,50.0,49.0,56.0,30.0,57.0,33.0,25.0,38.0,44.0,38.0,30.0,44.0,25.0,28.0,33.0,39.0,49.0,38.0,50.0,40.0,38.0,52.0,76.0,67.0,77.0,75.0,143.0,97.0,70.0,104.0,65.0,121.0,101.0,158.0,136.0,113.0
,Bahamas,25.0343,-77.3963,America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,7.0,3.0,0.0,4.0,0.0,1.0,4.0,7.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,5.0,5.0,0.0,7.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
,Bahrain,26.0275,50.55,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,10.0,0.0,3.0,5.0,6.0,2.0,0.0,3.0,3.0,5.0,25.0,0.0,10.0,15.0,85.0,0.0,0.0,15.0,4.0,0.0,14.0,28.0,22.0,7.0,20.0,29.0,43.0,15.0,27.0,39.0,8.0,10.0,23.0,16.0,52.0,2.0,74.0,29.0,16.0,12.0,56.0,55.0,12.0,64.0,38.0,115.0,96.0,225.0,167.0,143.0,29.0,40.0,33.0,108.0,26.0,66.0,54.0,190.0,301.0,70.0,59.0,76.0,88.0,110.0,119.0,130.0,114.0,99.0,150.0,187.0,214.0,265.0,245.0,330.0,167.0,295.0,295.0,285.0,382.0,385.0,164.0,209.0,228.0
,Bangladesh,23.685,90.3563,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,6.0,6.0,0.0,5.0,4.0,0.0,0.0,1.0,2.0,3.0,2.0,5.0,9.0,18.0,35.0,41.0,54.0,112.0,94.0,58.0,139.0,182.0,209.0,219.0,341.0,266.0,306.0,312.0,492.0,434.0,390.0,414.0,503.0,309.0,418.0,497.0,549.0,641.0,564.0,571.0,552.0,665.0,688.0,786.0,790.0,706.0,709.0,636.0,887.0,1034.0,969.0,1162.0,1041.0,1202.0,930.0,1273.0,1602.0
,Barbados,13.1939,-59.5432,America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,6.0,2.0,7.0,0.0,1.0,0.0,12.0,5.0,1.0,4.0,4.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
,Belarus,53.7098,27.9534,Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,15.0,0.0,0.0,9.0,0.0,15.0,0.0,18.0,7.0,0.0,5.0,0.0,5.0,0.0,8.0,0.0,0.0,58.0,0.0,11.0,141.0,47.0,89.0,122.0,138.0,161.0,205.0,420.0,495.0,245.0,352.0,341.0,362.0,447.0,476.0,575.0,0.0,0.0,1485.0,459.0,558.0,741.0,751.0,817.0,873.0,826.0,919.0,973.0,846.0,890.0,911.0,877.0,784.0,861.0,905.0,913.0,933.0,951.0,921.0,933.0,967.0,952.0,947.0,958.0,951.0,969.0,922.0
,Belgium,50.8333,4.0,Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,10.0,27.0,59.0,60.0,31.0,39.0,28.0,47.0,0.0,245.0,130.0,197.0,172.0,185.0,243.0,309.0,462.0,558.0,586.0,342.0,526.0,668.0,1298.0,1049.0,1850.0,1702.0,1063.0,876.0,1189.0,1384.0,1422.0,1661.0,1260.0,1123.0,1380.0,1209.0,1580.0,1684.0,1351.0,1629.0,942.0,530.0,2454.0,1236.0,1329.0,1045.0,1313.0,1487.0,973.0,933.0,908.0,1496.0,1032.0,809.0,553.0,647.0,525.0,660.0,513.0,485.0,389.0,361.0,242.0,272.0,639.0,591.0,585.0,485.0,368.0,330.0,202.0,307.0,356.0,345.0,291.0,279.0
,Benin,9.3077,2.3158,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,6.0,0.0,0.0,44.0,102.0,42.0,35.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0
